ID,Language_ID,English_Gloss,Form,Inflected_Forms,Comment,Source
lote1237-1-082,lote1237-1,to dance,hes,,,Barlow2024
lote1237-1-083,lote1237-1,causative prefix (CAUS),hɛ-,,verbal prefix,Barlow2024
lote1237-1-084,lote1237-1,"women, females (plural)",hɛhɛi,,also [hɛiɛ]; reduplicative plural of /hɛi/ ‘woman’,Barlow2024
lote1237-1-085,lote1237-1,"woman, female; wife",hɛi,"hɛi-ŋana (adjective); hɛ~hɛi (plural); lɛ-k hɛi (1sg, ‘my wife’), lɛ-m hɛi (2sg), nɛ hɛi (3sg), na hɛi (3sg)",,Barlow2024
lote1237-1-086,lote1237-1,old woman,hɛi tuaunaŋana,,‘woman old-ADJ’,Barlow2024
lote1237-1-087,lote1237-1,to blow (a fire); to raise (something),hɛkɛ,,"cf. /haka/ ‘to blow (of the wind); to climb, to ascend, to go up; to grow’, with which it likely has a relationship; /hurus/ ‘to blow’, /iu/ ‘to blow; to call (for someone), to shout’",Barlow2024
lote1237-1-088,lote1237-1,"reciprocal suffix (RECP) (each other, one another)",-hɛl,,"verbal suffix; same form as ‘some, few’",Barlow2024
lote1237-1-089,lote1237-1,"some, few",hɛl,,same form as reciprocal suffix,Barlow2024
lote1237-1-090,lote1237-1,to break in pieces,hɛlɛ,,"possibly /hɛl-ɛ/; cf. /hɛl/ ‘some, few’; cf. /xolo/ ‘to break (with the hand)’, /xax/ ‘to break, to rip’",Barlow2024
lote1237-1-091,lote1237-1,to turn,hɛliliu,hɛliliu-a,"possibly contains the causative prefix /hɛ-/; cf. /hul/ ‘to turn over, to capsize’",Barlow2024
lote1237-1-092,lote1237-1,four (4),hɛnɛl,,cf. /lɛisinɛ/ ~ /ana lɛisinɛ/ ‘four (counting in fours)’,Barlow2024
lote1237-1-093,lote1237-1,"to point out; to choose, to select",hɛnonou,hɛnonou-a,"possibly contains the causative prefix /hɛ-/; possibly derives from reduplication/infixation of /no-/ (cf. /hɛnou/ ‘pointer finger’); cf. /hɛsilɛi/ ‘to choose, to pick’",Barlow2024
